"naziv"	"godina/mjesto rođenja/ smrti"	"sadržaj"
"Antun Šojat"	"Prčanj, 1911 - Zagreb, 1974"	"Slikar. Diplomirao 1939. na Kraljevskoj akademiji za umjetnost i obrt u Zagrebu, u klasi profesora Marina Tartalje. Još kao mladić asistirao je Milu Milunoviću pri radu na fresci Blažene Ozane u župnoj crkvi u Prčanju. Upravo ga je Milunović uveo u umjetnost, a pohađao je tečajeve slikanja kod Iva Šeremeta i Petra Dobrovića. Studijski boravio u Rimu, Veneciji, Firenci, Parizu, Beču, Danskoj, Holandiji i Budimpešti. U ranom razdoblju gradio kompoziciju pod uticajem Pola Sezana. Krajem 1960-ih radi gustim, pastuoznim namazima tamnih tonova. Apstrahujući forme slikao je dramatično-ekspresivne predjele iz Boke Kotorske, naročito Prčanja i okoline. Bio je suprug slikarke Melite Šojat-Bošnjak, a kćer Vesna je takođe bila školovana slikarka."
"August Orou"		"Autor je bio kadet u Austougarskoj vojsci koji je službovao u Crnoj Gori. "
"Berhard H. Fiedler"	"1816-1904"	"Njemački slikar i putopisac iz XIX vijeka, poznat po akvarelima i litografijama s prikazima Sredozemlja i Balkana. Putovao je Dalmacijom, Crnom Gorom i Italijom, bilježeći pejzaže i gradske vedute u realističnom, dokumentarnom stilu, s izraženim osjećajem za svjetlo i arhitektonski detalj. Nadvojvoda Ferdinand Maksimilijan, budući car Meksika, upoznao je Fiedlerovo djelo i podržao ga da se nastani u Trstu. Godine 1855. belgijski kralj Leopold II pozvao ga je da putuje s njim kroz Egipat, Palestinu, Siriju, Grčku i Italiju. Nakon svakog putovanja Fiedler je priređivao izložbe u svom ateljeu ili lokalnim galerijama, učvršćujući ugled putopisnog slikara XIX vijeka. "
"Bernhard Fiedler"	"Berlin, 1816 - Trst, 1904"	"Bernhard Fiedler bio je austrijski crtač i grafičar aktivan sredinom 19. vijeka, poznat po topografskim i pejzažnim prikazima prostora Austrougarske Monarhije, naročito jadranske obale, Dalmacije i Boke Kotorske. Radio je u kontekstu ilustrovanih izdanja namijenjenih geografskom, pomorskom i kulturnom predstavljanju Carstva, a njegovi crteži su često služili kao predlošci za čelične gravure visokog tehničkog kvaliteta. Saradnja sa izdavačima povezanim s Lloydom Austriacom u Trstu smjestila ga je u krug autora koji su spajali dokumentarnu preciznost i romantičarski senzibilitet pejzaža, pa su njegovi radovi istovremeno imali umjetničku i informativnu vrijednost.
"
"Bisera Bulić"		
"Bogomil Karlavaris "	"Perlez, opština Zrenjanin, 1924. - Novi Sad, 2010"	"Slikar i likovni pedagog. Završio je Učiteljsku školu u Vršcu, Višu pedagošku školu u Novom Sadu, a Akademiju likovnih umetnosti u Beogradu, kod profesora Nedeljka Gvozdenovića. Doktorirao je likovnu pedagogiju u Njemačkoj. Predavao je na novosadskoj Višoj pedagoškoj školi, a po osnivanju Akademije umetnosti 1974. godine prelazi na likovni odsjek. Od 1980. godine radio je kao profesor Pedagoškog fakulteta u Rijeci i u Istri. Osnovao je Društvo likovnih pedagoga Vojvodine i Centar za likovno vaspitanje dece i omladine Vojvodine koji je uspješno vodio od 1954. do 1980. godine. Bio je pokretač i urednik časopisa “Likovno vaspitanje”. Dobitnik je brojnih nagrada, među kojima međunarodnog priznanja za vaspitanje putem umjetnosti “Edwin Ziegfeld” 1993. "
"Božidar Jakac"	"Novo Mesto, 1899 -Ljubljana, 1989"	"Slikar, grafičar, fotograf, filmski stvaralac, likovni pedagog. Kao vrlo mlad počeo se baviti slikarstvom. Učestvovao u Prvom svjetskom ratu. Prva znanja o slikarstvu dobio od Riharda Jakopiča. Studirao slikarstvo i grafiku na Akademiji likovnih umjetnosti u Pragu. Posjetio Pariz i Bremen. Po povratku u rodni grad učlanjuje se u pokret Novomeške pomladi. Seli se u Ljubljanu, gdje najprije radi kao ilustrator, a potom kao profesor crtanja. Opredjeljuje se za samostalni rad i putuje Tunisom, Amerikom i Norveškom. Pridružuje se partizanskom otporu. Dao je veliki doprinos osnivanju Akademije za likovnu umetnost i oblikovanje kao i Međunarodnog bijenala grafike u Ljubljani. Radio pejzaže i portrete. Bio je jedan od pionira slovenačke kinematografije. Dobitnik je mnogih nagrada, među kojima nagrada AVNOJ-a, Prešernova i druge. Bio je počasni akademik grada Firence, Evropske akademije umjetnosti, nauke i humanističkih nauka iz Pariza."
"Branko Filo Filipović"	"Cetinje, 1924 - Beograd, 1997"	"Slikar, a radio je i mozaike. Školovao se na Cetinju i u Beogradu. Po izbijanju rata vraća se na Cetinje gdje je zarobljen i prebačen u logor Albaniji (Kavaja, 1942-1943), ali je pušten. Po povratku u Crnu Goru pridružio se Narodnooslobodilačkom pokretu. 1947. godine upisuje Umjetničku školu, a nakon njenog premještanja u Herceg Novi odlazi za Beograd i upisuje Školu primenjenih umetnosti. Krajem 1950. godine vraća se i u Herceg Novom nastavlja u likovnoj školi, gdje mu je profesor bio Mirko Kujačić. Zahvaljujući izlaganju na Drugoj saveznoj izložbi na Cetinju 1951, postaje saradnik Mila Milunovića, kod kojeg će završiti specijalni tečaj, 1955. godine. U početnoj fazi slika pejzaže, cvijeće, mrtve prirode. Kao član likovne grupe „Trojica” (1951-1960) izlagao više puta u Cetinju, Titogradu i Beogradu. U vrijeme studija pohađao je umjetničku radionicu kod Jaroslava Kratine, u okviru koje se okreće istraživanju slikarskih materijala, što će dovesti do promjene stila i usmjeravanja ka enformelu. Izlagao je širom Jugoslavije i Evrope. Postepeno se usmjerava ka kolorističkom ekpresionizmu. Učestvovao je na Bijenalu u Veneciji  (1990) i na preko 200 kolektivnih izložbi u zemlji i inostranstvu. Dobitnik je većeg broja nagrada od kojih se izdvajaju Savezna nagrada za zidno slikarstvo (1962); Nagrada Cetinjskog likovnog salona „13. novembar”, Cetinje (1967); Trinaestojulska nagrada (1969)… Bio je član ULUCG-a, ULUS-a, CANU."
"Branko Kovačević"	"Zadvarje, Omiš, 1911 -Krapinske Toplice, 1988"	"Slikar. Počeo se baviti slikarstvom kao autodidakta i tako je održao prvu izložbu u Splitu. Potom uči slikarstvo u Zanatskoj školi u Splitu kod Emanuela Vidovića, nakon čega 1938. godine završava Umetničku akademiju u Beogradu. Vraća se u Split, a potom radi kao likovni pedagog u Novoj Gradiški. U tom periodu slika pejzaže. Po izbijanju Drugog svjetskog rata sarađuje sa Pokretom otpora. U ratnom periodu radi linoreze za mapu “Kroz Narodnooslobodilačku borbu” koja je 1944. godine štampana u Splitu. Bio je jedan od organizatora i izlagač na izložbama umjetnika partizana u Splitu, Šibeniku i Zadru. Po okončanju rata bio je nastavnik u Zagrebu, vodio je Umjetničku galeriju u Dubrovniku a radio je i kao scenograf u Osijeku. Objavljivao je tekstove o književnosti i likovnoj umjetnosti. "
"Carl Goebel "	"Beč, 1824 - Beč, 1899"	"Slikar. Sin je slikara istorijskih kompozicija Karla Petera Gebela, a unuk skulptora Jozefa Klibera. Putovao i radio širom Evrope na brojnim dvorovima kao portretista plemstva. Slikao pejzaže i žanr scene u Italiji, Parizu, Mađarskoj, Srbiji, Crnoj Gori, Španiji, Sjevernoj Africi. U poznijim godinama bavio se grafikom. Osim pejzaža, radio portrete i žanr kompozicije."
