"naziv"	"godina/mjesto rođenja/ smrti"	"sadržaj"
"Frédéric Sorrieu"	"Pariz, 1807 - Pariz, 1877"	"Francuski crtač i ilustrator, aktivan u prvoj polovini i sredinom XIX vijeka, naročito poznat po panoramskim, istorijskim i alegorijskim kompozicijama namijenjenim luksuznim izdanjima i ilustrovanim knjigama. Radio je kao autor predložaka (dessinateur) za drvorezne i čelične gravure, pri čemu je njegov crtački rukopis prepoznatljiv po složenim prostornim konstrukcijama, naglašenim vertikalama i dramatičnim odnosima pejzaža i arhitekture."
"Fritz Lach"	"Linc, 1868 - Beč, 1933"	"Slikar, grafičar. Studirao na akademijama u Beču i Minhenu. Do svoje 32. godine bio je oficir Prve dunavske parobrodske kompanije, a 1890. godine je postao lučki službenik odgovoran za vođenje knjiga o prihodima u Orsovi (Rumunija), a potom u Beogradu i Regensburgu. Kasnije se nastanio u Beču i posvetio slikarstvu. Bio je član njemačkog udruženja umjetnika i književnika Künstlerbund-a i austrijske asosijacije umjetnika Dürerbund, a dobitnik je brojnih nagrada i priznanja. Glavna tema njegovih radova su bili pejzaži i vedute.
"
"Gojko Berkuljan "	"Nikšić, 1923 - Cetinje, 1989"	"Slikar, scenograf, konzervator. Kao pripadnik prve generacije upisuje Umjetničku školu na Cetinju, 1947. godine, na Odsjeku za slikarstvo kod profesora Mila Milunovića i Petra Lubarde. Osim njih predavači su bili i Đorđe Oraovac, Svetomir Poček, Milan Božović i Marko Kažić. Nastavlja školovanje u Herceg Novom nakon preseljenja škole 1948. godine. Tokom školovanja bio je, pored ostalog, angažovan na kopiranju i zaštiti fresaka u Pećkoj patrijaršiji i drugim crkvama i manastirima u Makedoniji i Crnoj Gori. Nakon diplomiranja izvjesno vrijeme je radio kao tehnički urednik lista “Pobjeda”, a potom u Zavodu za zaštitu spomenika kulture na Cetinju, na poslovima konzervatora za štafelajno i fresko slikarstvo. Za potrebe Zavoda napravio je prvu „skicu“ objekta na ostrvu Gospa od Škrpjela. Zajedno sa slikarima Aleksandrom Prijićem i Brankom Filipovićem – Filom, 1951. godine osnovao je grupu „Trojica“, koja je, u crnogorskoj likovnoj umjetnosti, označila raskid sa ideološkim stereotipima soc-realizma i prelazak na zapadne likovne modele.
Od 1952. godine je radio kao scenograf u Narodnom pozorištu „Zetski dom“ i Dječijem pozorištu „Rajko Begović“. Kao stipendista fonda „Moša Pijade“ boravio je u Italiji (1954) i Francuskoj (1959). Ilustrovao je nekoliko edicija i pojedinačnih izdanja, radio je logoe i plakate za pojedine manifestacije ili propagandne kampanje. Inicirao je osnivanje i bio prvi direktor Likovnog salona „13. Novembar“.
Bio član ULUCG (Udruženja likovnih umjetnika Crne Gore) i ULUJ (Udruženja likovnih umjetnika Jugoslavije), a za svoj rad dobio je više nagrada i ordena.
"
"Gustav Rasch"	"1873 - 1955"	"Gustav Rasch bio je danski slikar, školovan u Kopenhagenu, koji je djelovao na prelazu iz XIX u XX vijek. Najčešće je slikao pejzaže i obalne motive, s posebnim interesovanjem za mediteranski i južnoevropski prostor, gdje boravi tokom putovanja. Njegov izraz odlikuju smiren kolorit, jasna kompozicija i naglašena atmosfera."
"Hakija Kulenović"	"Bosanski Petrovac, 1905 -Sarajevo, 1987"	"Slikar i likovni pedagog. Bio je potpredsjednik Saveza likovnih pedagoga Jugoslavije i profesor Više pedagoške škole. Studirao je slikarstvo kod Jovana Bijelića dvije godine, a potom diplomirao na Umetničkoj školi u Beogradu, 1928. godine. Školovanje nastavio na Skandinavskoj akademiji u Parizu. Karijeru započeo u Šapcu, a potom nastavio u Sarajevu. Ratne godine proveo u radnom logoru blizu Beča, a potom u logoru na Banjici, u Beogradu. Izveo generacije nastavnika likovnog obrazovanja koji su ga predavali prilagođenog dječijem uzrastu. Dominantno slikao pejzaže, u ekspresionističkom maniru."
"Heinrich Louis Theodor Gurlitt "	"1812 - 1897"	"Dansko-njemački slikar bogatog opusa, čije je djelo obilježilo procvat Dizeldorfskog slikarstva sredinom XIX vijeka. Nakon studija u Kopenhagenu, gdje 1833. osvaja srebrnu medalju, Akademija ga ističe kao jednog od najtalentovanijih umjetnika generacije. Tokom karijere živi u Austriji i Njemačkoj, ali ostaje vezan za Dansku. Putuje po Grčkoj, Italiji i Dalmaciji, stvarajući romantične pejzaže prožete suptilnom atmosferom i svjetlom juga."
"Hermann David Salomon Corrodi"	"Frascati, 1844 - Rim, 1905"	"Italijanski slikar pejzaža i orijentalnih scena. Studirao slikarstvo na Akademiji sv. Luke kod oca, Salomona Korodija (1810-1892) i u Parizu (1872). U Parizu upoznaje britanskog slikara Lorensa Alma-Tadema koji ga poziva u London i predstavlja kraljevskoj porodici. Dobija porudžbe i slika istorijske kompozicije. Upoznaje i druge pripadnike evropskih kraljevskih dvorova, a postaje prijatelj kraljice Viktorije. Putuje na Daleki istok, u Egipat, Siriju, Grčku i Tursku gdje će naslikati mnogo radova. Radio je kao profesor na Akademiji sv. Luke, gdje je dobio titulu viteza."
"Hugo Charlemont "	"Jemnice, 1850 - Beč, 1939"	"Austrijski slikar. Studirao je na Akademiji u Beču, studijski boravio u Holandiji, gdje je stekao znanja iz oblasti grafike kod Artura Vilijama Ungera (Arthur William Unger). Bavio se slikanjem pejzaža. Napravio seriju ilustracija pod nazivom “Austro-ugarska monarhija u slici i riječi” za princa Rudolfa.   "
"Ilija Šobajić"	"Danilovgrad, 1876 - Beograd, 1953"	"Slikar pejzaža i orijentalnih motiva, školovan u Rimu i Ženevi. Putovao je Egiptom, Sirijom, Grčkom i duž jadranske obale, stvarajući djela u akademskom duhu i okviru orijentalizma, s prizorima istočnjačkih ulica i pijaca oblikovanim u toplim, zemljanim tonovima i svijetlim kolorističkim akcentima. Crnu Goru je posjetio 1898. godine, kada je izradio nekoliko skica koje je kasnije razvio u završena slikarska djela. Svoj boravak na Cetinju opisao je u knjizi Un escursione nella Montagne Nere, objavljenoj 1899. u RimuZabilježeno je i da je, za potrebe slikanja, kupio jednu crnogorsku narodnu nošnju."
"J. Frey"		"J. Frey je vjerovatno bio graver koji je izradio ovaj prikaz Nikšića po crtežu autora potpisanog sa M.Č. o kojem nema dostupnih podataka."
"Jakob von Alt"	"Beč, 1789 - Beč, 1872"	"Austrijski slikar, akvarelista i crtač, jedan od najznačajnijih majstora vedute i pejzaža u habsburškom kulturnom prostoru XIX vijeka. Specijalizovao se za precizne, ali slikarski suptilne prikaze gradova, arhitekture i prirodnih ambijenata, često rađene u akvarelu i gvašu. Njegov opus obuhvata Beč, Alpe, Italiju i širi jadranski prostor, gdje je spojio topografsku tačnost sa atmosferom svjetla i kolorita. Kao dvorski i putujući umjetnik, Jakob von Alt imao je ključnu ulogu u vizuelnom oblikovanju srednjoevropskog pogleda na južne provincije Monarhije."
"Jean-Baptiste-François Génillion"	"Lyon, 1750 - Pariz, 1829"	"Francuski slikar, crtač i ilustrator, aktivan u drugoj polovini XVIII i početkom XIX vijeka. Génillion je poznat po vedutama, pejzažima i ilustracijama za putopisnu i geografsku literaturu, gdje je radio u duhu prosvjetiteljskog interesa za topografiju i dokumentovanje prostora. Njegov rad karakterišu jasna kompozicija, narativna čitljivost i spoj umjetničkog izraza sa deskriptivnom preciznošću."
"Johann Högelmüller"		"Crtač, autor veduta i grafičkih prikaza čije radove su štampali drugi autori, a koje su bile objavljene u albumu Dalmacija."
"Jovan Jovo Ivanović"	"Budva, 1932 - Budva, 2017"	"Slikar, likovni pedagog. Završio Umjetničku školu u Herceg Novom, 1956. godine u klasi Draga Đurovića. Likovno obrazovanje nastavlja u ateljeu Mila Milunovića u Beogradu. Poslije dvije godine vraća se u Budvu i bavi se pedagoškim radom. Početkom sedamdesetih godina prelazi u Kulturni centar, u okviru kojeg osniva Modernu galeriju (1972), na čijem je čelu bio decenijama. Galerija od 2018. godine nosi njegovo ime. Izražavao se u različitim tehnikama - od ulja, akvarela, gvaša, crteža, uglavnom u ekspresionističkom maniru. Prvu samostalnu izložbu imao je 1964. u Budvi, a izlagao u Antverpenu, Riminiju (1968) i Beču (1969) kao i širom Jugoslavije i Crne Gore. Dobitnih je više nagrada, među kojima su Nagrada Cetinjskog likovnog salona, Cetinje (1974);  Nagrada za crtež „Milo Milunović”, ULUCG, Titograd (1980); Plaketa ULUCG-a za ukupan doprinos u oblikovanju crnogorske likovne scene (2017). Bio je član ULUCG-a od 1964. godine."
"Jovan Kukić"	"Zagreb, 1907 - Beograd, 1982"	"Slikar, likovni pedagog. Završio Učiteljsku školu u Beogradu. Pohađao tečajeve slikanja kod Jovana Bijelića, Zore Petrović, Svetolika Lukića. Prvi put je izlagao 1939. godine u Beogradu.Učestvovao na svim izložbama Udruženja likovnih umetnika Srbije, kao i na izložbama Saveza likovnih umetnika Jugoslavije. Samostalno izlagao u Beogradu. Radio je kao nastavnik crtanja u Gimnaziji u Beogradu. Bio je član ULUS-a."
"Jovan Zonjić"	"Cetinje, 1907 - Beograd, 1961"	"Slikar. Diplomirao je na Umetničkoj školi u Beogradu 1931, kod profesorȃ Ljube Ivanovića i Milana Milovanovića. Iste godine izlagao je na Jesenjem salonu u Beogradu i otvorio prvu samostalnu izložbu na Cetinju. Od 1931–1939. živio u Parizu i studirao istoriju umjetnosti i arheologiju na Sorboni, kao i školu u Luvru - Odjeljenje akademskog slikara Robera Reja. Godine 1932. primljen je u atelje akademika Fransoa Lorana. U vrijeme boravka u Parizu slika pejzaže, motive sa Sene i predjele iz okoline Pariza, mrtve prirode, enterijere i često izlaže. Sliku “Crnkinja” otkupljuje Nacionalni muzej moderne umjetnosti ali ona nestaje tokom njemačke okupacije. Kao zamjenu slikar poklanja rad “Mrtva priroda u crnom okviru”. Tokom boravka u Francuskoj izlaže u paviljonu na Malom Kalemegdanu u Beogradu (1934) dobija nagradu „Beograđani - beogradskim umetnicima”. Naredne godine izabran je na konkursu za uređenje unutrašnjosti zgrade Narodne skupštine i za izradu fresko-dekoracije i ikona Crkve Sv. Preobraženja u Novom Sarajevu. Nakon povratka iz Pariza živi u Beogradu, a potom na Cetinju i u Ljubljani. 
Radio je pejzaže, mrtve prirode, portrete, figuralne kompozicije sa temama iz narodnog života, zidne dekoracije. Kolorit je ograničen na nekoliko boja – uglavnom sive i smeđe u prigušenom skoro monohromnom tretmanu, a tonska skala je svedena na nekoliko svetlijih nijansi osnovnih boja.
"
"Karl Ludwig Prinz"	"1875-1944"	"Austrijski samouki slikar i scenograf. Poznat je po pejzažima velikih razmjera iz Bečke šume i Alpa (Južnotirolski Dolomiti). Od 1908. bio je član Bečke zadruge likovnih umjetnosti. Od 1912. godine stvarao je scenografiju za dvorsku operu u Beču i za pozorišta u Minhenu, Hamburgu i Njujorku. Tokom Prvog svjetskog rata primljen je kao ratni slikar u sjedištu austrougarske ratne štampe."
"László Mednyánszky"	"Beckov, 1852 - Beč, 1919"	"Mađarski slikar simbolističke orijentacije, poznat po pejzažima, prizorima prirode i prikazima marginalizovanih ljudi. Poticao je iz plemićke porodice, školovao se u Minhenu i Parizu, a stvarao širom srednje Evrope. Njegovo slikarstvo odlikuju tamna, prigušena paleta, izražajna atmosfera i introspektivan, često melanholičan ton."
"Leo Arndt"	"Eilenburg, 1857 - Berlin, 1945"	"Ilustrator i grafičar. Upisao Akademiju likovnih umjetnosti u Lajpcigu. Radio kao slobodni umjetnik. U Sarajevu osnovao slikarski klub. Poznat po portretima i pejzažima."
"Ljubo Brajović "	"Vraka, 1934 - Podgorica, 2018"	"Slikarstvo je učio u Srednjoj umjetničkoj školi u Herceg Novom, kod profesora Bata Pravilovića i Veliše Lekovića. Likovnu akademiju završio je u Beogradu 1964. godine u klasi  Ljubice Sokić i Mila Milunovića. Bavio se konzervacijom i restauracijom i radio u Zavodu za zaštitu spomenika kulture Kosmeta u Prištini, a potom na Cetinju i u JU Muzeji i galerije Podgorice. Bavio se kopiranjem fresaka i učestvovao u premještanju manastira Piva. Radio u Pećkoj patrijaršiji, crkvi Bogorodice Ljeviške, Gračanici, manastiru Morača, Dubočica, Savina, Reževići, Crkvi Svetog Đorđa i na brojnim objektima i spomenicima na Skadarskom jezeru. Njegove kopije fresaka nalaze se u stalnoj postavci Galerije fresaka u Beogradu, a djela u kolekcijama brojnih muzeja. 
Slikao pejzaže, portrete, mrtve prirode, enterijere. Učestvovao je na brojnim samostalnim i grupnim izložbama ULUCG-a i predstavljanjima crnogorske umjetnosti. 
 "
"Ljubomir Ljuba Ivanović "	"Beograd, 1882 - Beograd, 1945"	"Slikar koji je čitavu svoju karijeru posvetio bavljenju crtežom i grafikom. Studirao na privatnoj školi Antona Ažbea i Akademiji u Minhenu 1909. godine. Potom je predavao crtanje na Umetničkoj školi u Beogradu, a predavao je i na Akademiji likovnih umetnosti. Bio je jedan od osnivača Udruženja likovnih umetnika i član umjetničke grupe „Lada“. Bio je dopisni član SANU. "
"Ludvik Kuba"	"Podjebradi, 1863 - Prag, 1956"	"Slikar, muzičar i pisac. Studirao je na Muzičkoj školi u Pragu, a slikanje učio privatno. Potom upisuje Umjetničku akademiju na kojoj uči od 1891-1893. Studije nastavlja u Parizu na Julijanskoj akademiji (1893-95) i kod Antona Ažbea u Minhenu (1895-1904). Osim slikanja sakupljao narodne pjesme i pisao o narodnoj tradiciji. Uglavnom je slikao pejzaže, portrete i mrtve prirode. Bio je član Češke akademije i Jugoslovenske akademije nauka i umjetnosti."
"Luka Stanković "	"Gračanica, 1909 - Peć,1983"	"Završio je Umetničku školu u Beogradu, kod profesora Ljubomira Ivanovića, a skulpturu je učio kod vajara Tome Rosandića. Prije Drugog svjetskog rata predavao crtanje u srednjim školama u Nikšiću (Gimnaziji i Učiteljskoj školi). Predavao u Umjetničkoj školi u Herceg Novom (1950–1960), gdje je bio cijenjen kao vrstan pedagog. Potom se seli u Prištinu, a zatim u Beograd. Tokom čitave karijere   bavio se crtežom. U ranom periodu radi realističke pejzaže okoline Nikšića, Andrijevice i plavske doline. Kratko stvara u duhu socrealizma, predstavlja scene izgradnje zemlje – omladinske radne akcije, a značajno je doprinio utemeljenju jednog specifičnog oblika dokumentarnog slikarstva. Po okončanju ovog perioda u umjetnosti ponovo se posvećuje omiljenoj temi pejzaža i predstavama urbanih cjelina. 
Uglavnom radi olovkom i tušem, izražajnim potezima sa diskretnim prelazima između sjenki i polusjenki, osvjetljenih i tamnih partija, stvarajući intimnu atmosferu. Bavio se i skulpturom. Radio je portrete i spomen-biste. Od 1946. učestvuje na izložbama ULUCG-a, a bio je član ULUS-a. "
"Mario Maskareli  "	"Cetinje, 1918 - Risan, 1996"	"Slikar, grafičar, a bavio se i ilustracijom i slikanjem na staklu. Završio Akademiju likovnih umetnosti u Beogradu i specijalni kurs grafike. Studijski boravio u Grčkoj, Italiji, Francuskoj, Belgiji i Holandiji. Predavao u Školi za primjenjenu umjetnost u Herceg Novom. Bio član grupa „Samostalni“ i „Lada“. Trajno je bio nastanjen u Beogradu, dok je povremeno dolazio u Prčanj, gdje je imao atelje. Slikao uglavnom primorske motive, teme karnevala, u prepoznatljivom ekspresivnom maniru, često potiskujući objektivizaciju predmeta."
"Marko Čelebonović "	"Beograd, 1902 - Sen Trope, 1986"	"Studije prava je započeo 1919. u Oksfordu, a diplomirao 1922. u Parizu. Iste godine došao je u vajarski studio Antoana Burdela u Parizu sa namjerom da se posveti vajarstvu, ali se ubzo usmjerio ka slikarstvu. Već 1925. po prvi put je izlagao svoja djela u Salonu Tiljeri (Salon des Tuilleries), potom odlazi u Sen Trope, gdje radi uz francuske slikare - Vijara, Sinjaka, gdje će se potom i trajno nastaniti. Godine 1937. imao je prvu samostalnu izložbu u Beogradu, dok je 1938. izlagao sa grupom „Dvanaestorica“. Povremeno je posjećivao Beograd, crnogorsko primorje i obilazio srednjevjekovne manastire. Bio je blizak sa jugoslovenskim slikarima koji su dolazili u Francusku (Sreten Stojanović, Marino Tartalja, Petar Lubarda, Milo Milunović). Pripadao je francuskom Pokretu otpora. U periodu 1948-1960, bio je profesor na Akademiji umetnosti u Beogradu, u čijoj je klasi studirao slikar Miodrag Dado Đurić kojem je pomogao da ode u Francusku. Često je izlagao u Parizu, Beogradu, Cirihu, Ženevi, Sarajevu, Skoplju i Nišu. Učestvovao je i na kolektivnim izložbama jugoslovenske umjetnosti u Francuskoj, Engleskoj, Belgiji, Italiji, Holandiji i Brazilu. Bio je savjetnik Ambasade FNRJ u Parizu 1949-1952. i sekretar Saveza likovnih umjetnika Jugoslavije 1953. Bio je član grupa: “Oblik”, “Dvanaestorica”, “Samostalni”."
"Mathias Trentsensky"	"Beč, 1790 - Beč, 1866"	"Austrijski litograf i izdavač aktivan u Beču sredinom XIX vijeka. Vlasnik radionice Trentsensky & Vieweg, poznate po vedutama i vojnim prizorima. Autor i izdavač ranih litografija Dalmacije i Boke Kotorske, među njima i pogleda na Kotor iz oko 1845. godine."
"Mato Đuranović"	"Đurići, Herceg Novi, 1895 - Meljine, 1973"	"Slikar, likovni i muzički pedagog. Prva znanja o umjetnosti dobio je od oca koji je takođe bio slikar, Špiro Đuranović. Školovanje nastavlja u Zadru, a potom odlazi u Ameriku, 1919. godine. Završava Muzičku akademiju i predaje violinu. 1922. godine imao je prvu samostalnu izložbu u Galvestonu, a 1929. godine završava Grand Central School u Njujorku, gdje dobija zlatnu medalju 1932. godine. 1934. se vraća u Boku Kotorsku. Učestvuje u Drugom svjetskom ratu. Predavao crtanje u Gimnaziji u Kotoru. Bio član ULUCG i učestvovao na izložbama Udruženja. Organizovao putujuću izložbu na brodu ""Kapetan Martinović"" koja je gostovala u američkim lukama u kojima je boravio. Radio uglavnom pejzaže i portrete, pod uticajem Sezana i kubizma, a potom i meksičkog socijalnog realizma. Izlagao širom Amerike, u Francuskoj, Italiji, Kotoru, Cetinju ... kao i na brojnim kolektivnim izložbama širom Evrope. Osim Zlatne medalje, dobitnik je Trinaestojulske nagrade, Nagrade Cetinjskog salona jugoslovenske umjetnosti i drugih."
"Michael Zeno Diemer"	"Minhen, 1867 - Oberamergau, 1939"	"Slikar, muzičar, kompozitor. 1884. upisao je Akademiju likovnih umjetnosti u Minhenu, a nakon toga putovao obalom južne Italije. Proslavio se slikama jedrenjaka i prikazima bitaka Francusko-njemačkih ratova, kao i akvarelima sa prizorima sa Alpa. Danas je najprepoznatljiviji po panoramskim slikama. 1891. godine njegovi radovi predstavljeni su na izložbi njemačke umjetnosti u Londonu. Bio je i pilot, pa je načinio mnogo fotografija i slika iz vazduha. Dvije godine kasnije putovao je u Njujork, gdje je napravio dioramu za Svjetsku izložbu u Čikagu. 
Glavni motivi njegovih djela su bili planinski i primorski predjeli, koje je pronalazio na putovanjima, a izrađivao je i plakate i razglednice. "
"Mihail Milo Pavlović "	"Cetinje, 1935 - Cetinje, 2014"	"Slikar, likovni pedagog. Završio je Školu primjenjenih umjetnosti u Herceg Novom. Diplomirao je na Pedagoškoj akademiju u Rijeci (Hrvatska), Odsjek za likovne umjetnosti i likovni odgoj. Kao stipendista Fonda „Moša Pijade”, boravio je na L’École Beaux-Arts u Parizu i na Umjetničkoj akademiji „Rjepin” u Lenjingradu. Studijski je boravio u mnogim evropskim zemljama, Americi, Aziji, Australiji, Africi. Učestvovao je u osnivanju likovnih salona, galerija, kolonija i udruženja u Crnoj Gori. 
Bio je jedan od najistaknutih akvarelista u Crnoj Gori, ali i na prostoru nekadašnje Jugoslavije. Bio je inspirisan crnogorskim pejzažima – od Katunske nahije, Budve, Boke Kotorske, sve do Bačke (Srbija). U djelima iz početne faze moguće je zapaziti uticaj Petra Lubarde, dok će kasnije razviti sopstveni stil. Poetičnost atmosfere, naglašena svjetlost, izrazito topao kolorit, sa tamnijim akcentima karakterišu njegove slike i akvarele. Iako često polazi od konkretnog motiva on je transformisan i obavijen jednom vrstom izmaglice, magičnosti, sugerišući duboku meditativnost. 
"
"Mihajlo Vukotić"	"Čevo, Cetinje 1904 - Cetinje, 1944"	"Slikar. Godine 1925. upisao je Umetničku školu u Beogradu kod profesorke Bete Vukanović, a 1927. godine odlazi u Pariz i nastavlja slobodne studije po muzejima i galerijama, gdje se često sreće sa Petrom Lubardom. U Beograd se vraća zbog narušenog zdravlja čemu je doprinio težak život u nemaštini. Od 1928. godine učestvuje na Prolećnim i Jesenjim izložbama ULUS-a. Njegov relativno mali opus karakteriše izrazito taman kolorit, po kojem je ostao jedinstven. Radio je uglavnom portrete i pejzaže. Njegovo slikarstvo odlikuje intimistički pristup, a opus se može podijeliti na dva razdoblja - tamno (1927-1930) i tzv. “romantični” period koji čine lirska (1930-1934) i svijetla faza (1934-1944). No, ratno vrijeme je dodatno narušilo njegovo zdravlje i 1941. godine se vraća u Cetinje, gdje vrlo malo radi. Glavna karakteristika njegovog stila su smeđi i zeleni tonovi sa gustim nanosima. U kasnijim godinama kolorit postaje nešto pastelniji, uz prisustvo prigušene drame na kompozicijama. Dodatno, neposredno pred smrt primjetna je i određena doza melanholije i mističnosti koja odlikuje pozna ostvarenja. Čitav njegov opus odiše izrazitim rafinmanom koji odražava njegovu prefinjenu i uzdržanu ličnost, sa snažnim prizvukom nostalgije, ponekad čak izvjesnog sjetnog raspoloženja uslovljenog bolešću (tuberkulozom) od koje je i preminuo mlad. Osim slikarstvom jednako posvećeno bavio i muzikom - svirao je violončelo.
"
"Milan Konjović"	"Sombor, 1898 - Sombor, 1993"	"Slikar, a bavio se pozorišnmo scenografijom i kostimografijom. Prvu samostalnu izložbu imao je 1914. godine, dok je pohađao Gimnaziju, kada je izložio pedesetak djela, nastalih po motivima iz prirode. Bio je učesnik Prvog svjetskog rata (1916-1918) kao oficir artiljerije. Upisao je Akademiju likovnih umjetnosti u Pragu, 1919. godine kod Vlaha Bukovca, gdje je proveo dva semestra. Tokom boravka u Parizu njegovo slikarstvo izaziva pažnju i postiže uspjehe na brojnim izložbama. Početni period stilski pripada tzv. Plavoj fazi. Po povratku u Sombor posvećuje se slikanju vojvođanskih predjela i povremeno putuje u Dalmaciju. To je period kada nastaju djela iz tzv. Crvene faze. Tokom drugog svjetskog rata bio je u zarobljeništvu u Osnabriku. Po povratku iz logora nastaju radovi iz Sive faze, da bi nakon 1953. godine ponovo nastupio period snažnog kolorita. Sredinom osamdesetih godina radi djela inspirisana vizantijskom umjetnošću. Bio je član Vojovođanske akademije nauka i umetnosti i SANU. Imao je bogatu izlagačku karijeru u zemlji i inostranstvu. Slikao dominantno pejzaže ali i portrete, mrtvu prirodu u različitim tehnikama i medijima – od ulja, pastela, akvarela, tempera, crteža, preko tapiserija, pozorišnih scenografija, skica za kostime, do vitraža, mozaika i grafika, uglavnom u duhu kolorističkog ekspresionizma. Iza sebe ostavio opus od preko 6.000 djela. 
"
"Milena Šotra"	"Pješivac, Stolac, 1905 - Beograd, 2003"	"Slikarka. Još kao vrlo mlada odlazi u Ameriku, a nakon povratka, 1934. godine upisuje tečaj crtanja kod Petra Dobrovića u Beogradu. Pohađala privatnu akademiju u Parizu kod Andre Lota. Ponovo odlazi u Ameriku, gdje nastavlja obrazovanje kod Aleksandra Arhipenka. Zahvaljujući njemu dobija stipendiju za Akademiju u Njujorku, na Odsjeku za kostim. Po okončanju Drugog svjetskog rata po povratku u zemlju aktivno učestvuje javnom životu, da bi se od 1960. potpuno usmjerila na slikanje. Živjela je u Beogradu, a često boravila u Herceg Novom. Slikala pejzaže, aktove, enterijere i mrtve prirode. Samostalno izlagala u Americi, Beogradu, Herceg Novom, Trebinju, Ljubljani ... a kolektivno izlagala u okviru izložbi Udruženja likovnih umjetnika Srbije, Crne Gore i Bosne i Hercegovine."
"Milentije Živković"		
"Milo Milunović"	"Cetinje, 1897 - Beograd, 1967"	"Slikar, a bavio se mozaikom, fresko slikarstvom, izradom plakata i ilustracija, scenografija i kostima za pozorišne predstave, suprug slikarke Olge Bogdanović. Pisao je i pozorišne kritike, eseje i sarađivao sa brojnim časopisima iz oblasti umjetnosti. Školovao se na Cetinju, u Monci (1906-1911) i Skadru (1911-1912). Potom odlazi u Firencu, gdje na Švajcarskoj slobodnoj akademiji (1912-1914), dobija poduke o slikarstvu kod profesora Antonija Đakometija. Pridružuje se crnogorskoj vojsci i ubrzo potom zarobljen je i interniran u Osijek (1917-1918). U Osjeku posjećuje atelje Vladimira Filakovca, a u sali bioskopa „Uranija” priređuje i prvu samostalnu izložbu. Nakon završetka rata odlazi u Pariz (1919-1922), koji će posjetiti nekoliko puta, a koji će presudno uticati na promjene u njegovom slikarstvu. Izlaže u pariskim salonima, a kasnije ga zastupa galerija “Kardo” sa kojom učestvuje na Bijenalu u Veneciji, 1928. godine. Već tokom prvog boravka u Parizu obilazi Luvr i druge muzeje gdje ga posebno zanimaju djela Sezana, Engra, Pusena. U tom periodu kolorit je izrazito taman, a dominantan način slikanja je figuracija. Po povratku se seli u Beograd (1932), i sve više usmjerava na slikanje pejzaža. Često dolazi u Crnu Goru, gdje intenzivno slika. U Beogradu sa slikarima Petrom Dobrovićem i Tomom Rosandićem je pokrenuo osnivanje Akademije likovnih umetnosti (1937). U periodu poslije Drugog svjetskog rata ponovo boravi na Cetinju (1946-1948), učestvuje u osnivanju Umjetničke škole i radi kao profesor. Vraća se u Beograd, gdje će provesti život, uz redovne boravke u Crnoj Gori. Dobija zvanje majstora-slikara 1947. godine, a već naredne je na čelu Državne majstorske radionice likovne umetnosti u Beogradu. Od 1952. godine sve do smrti bio je redovni profesor ALU u Beogradu. Bio je član umjetničkih grupa „Dvanaestorica” (1937-1938) i „Samostalni” (1951-1955). 
Izlagao samostalno širom Jugoslavije i u inostranstvu: u Parizu, Moskvi, Bejrutu, kao i na brojnim kolektivnim izložbama širom Evrope. 
Dobitnik je brojnih priznanja među kojima su i Orden Legije časti Francuske (1939); IX nagrade na „Izložbi savremene umjetnosti” iz 79 zemalja, San Francisko (1939); Nagrade Vlade NRCG (1948); Ordena rada I reda (1958); Nagrade za slikarstvo na I Oktobarskom salonu (1960); Sedmojulske nagrade za životno djelo (1961); Zlatne medalje na II Trijenalu jugoslovenske umjetnosti (1964) ... Bio je član ULUCG-a od 1947, dopisni član JAZU od 1966. a redovni član SANU postao je 1958. godine. Udruženje likovnih umjetnika Crne Gore (ULUCG) ustanovilo je godišnju nagradu „Milunović, Stijović, Lubarda” 1985. godine koja se dodjeljuje i danas.
"
"Miloš Vušković "	"Cetinje, 1900 - Cetinje, 1975"	"Slikar, karikaturista, likovni pedagog. Na Cetinju završio Gimnaziju, a po izbijanju Prvog svjetskog rata interniran u Beč. Po okončanju rata upisuje Umetničku školu u Beogradu. Nekoliko godina boravi u Beču gdje studira slikarstvo. Po povratku predaje crtanje u Gimnaziji u Pančevu a potom u Beogradu. Paralelno se bavi karikaturom. Bio je jedan od osnivača satiričnog časopisa ""Ošišani jež"". Nakon Drugog svjetskog rata sa Milom Milunovićem se vraća u Crnu Goru, 1948. godine i predaje na Umjetničkoj školi na Cetinju, a nakon njenog preseljenja u Herceg Novi bio je njen direktor. U periodu od 1953-1965. bio direktor Umjetničke galerije na Cetinju, u čijem je osnivanju učestvovao. Bio je član Udruženja likovnih umetnika Srbije i Udruženja likovnih umjetnika Crne Gore, a u jednom periodu i njegov predsjednik. Bio je i redovni član Društva za nauku i umjetnost (Crnogorska akademija nauka i umjetnosti) i član umjetničke grupe „Oblik“.
U fondu Narodnog muzeja Crne Gore nalazi se njegov legat koji broji preko 300 radova – slika, skulptura i karikatura od kojih je jedan manji dio izložen u okviru stalne postavke Umjetničke galerije. "
